*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
2017-11-03 14:40:47:388578,"Robot State: ,Introduce Nao Started"
2017-11-03 14:40:48:979283,"Robot State: ,Introduce Nao Ended"
2017-11-03 14:40:50:478005,"Robot State: ,Looking at The Book"
2017-11-03 14:40:51:095721,"Robot State: ,TaskONE Selected"
2017-11-03 14:40:52:113122,"Robot State: ,Looking at The Book"
2017-11-03 14:40:54:231594,"Robot State: ,Reading Mode Started"
2017-11-03 14:40:58:636609,"Position: x: 0.199309468269
y: 0.104691207409
z: 0.237119168043
x: 0.0169495120645
y: 0.381679028273
z: -0.0293780546635
w: 1.0"
2017-11-03 14:40:58:637138,"Current Word: ,\rspd=70\  HEY!		"
2017-11-03 14:40:59:296443,"Current Word: ,\rspd=70\  would you"
2017-11-03 14:40:59:295466,"Position: x: 0.201830044389
y: 0.115503691137
z: 0.245311200619
x: 0.00973256025463
y: 0.34245339036
z: 0.027075977996
w: 1.0"
2017-11-03 14:41:00:733863,"Position: x: 0.203870773315
y: 0.116924829781
z: 0.251491427422
x: 0.00383478077129
y: 0.312113106251
z: 0.034143704921
w: 1.0"
2017-11-03 14:41:00:734161,"Current Word: ,\rspd=70\ like"
2017-11-03 14:41:02:167985,"Position: x: 0.205359682441
y: 0.10600220412
z: 0.252201527357
x: 1.9655097276e-05
y: 0.307111382484
z: -0.0190453249961
w: 1.0"
2017-11-03 14:41:02:169037,"Current Word: ,\rspd=70\ to know"
2017-11-03 14:41:03:615431,"Current Word: ,\rspd=70\ a"
2017-11-03 14:41:03:615870,"Position: x: 0.205578356981
y: 0.0958229824901
z: 0.251607567072
x: 0.00486139860004
y: 0.308598250151
z: -0.0689583644271
w: 1.0"
2017-11-03 14:41:05:075711,"Current Word: ,\rspd=70\ secret?		"
2017-11-03 14:41:05:076118,"Position: x: 0.205765813589
y: 0.0851673334837
z: 0.251592248678
x: 0.00925709400326
y: 0.307164311409
z: -0.120476216078
w: 1.0"
2017-11-03 14:41:06:162220,"Current Word: ,\rspd=70\ well"
2017-11-03 14:41:06:162490,"Position: x: 0.197129681706
y: 0.117137864232
z: 0.236021757126
x: 0.00839853659272
y: 0.389452040195
z: 0.0370944142342
w: 1.0"
2017-11-03 14:41:07:617727,"Position: x: 0.199292063713
y: 0.117159739137
z: 0.240646600723
x: 0.00238895253278
y: 0.366240382195
z: 0.0379143729806
w: 1.0"
2017-11-03 14:41:07:617874,"Current Word: ,\rspd=70\ everyone"
2017-11-03 14:41:09:054231,"Position: x: 0.200504377484
y: 0.106523133814
z: 0.24015134573
x: 0.00225072354078
y: 0.366671234369
z: -0.0165364462882
w: 1.0"
2017-11-03 14:41:09:055494,"Current Word: ,\rspd=70\ thinks"
2017-11-03 14:41:10:514651,"Position: x: 0.201234161854
y: 0.0959701985121
z: 0.240793257952
x: 0.00720262620598
y: 0.361871749163
z: -0.0688945278525
w: 1.0"
2017-11-03 14:41:10:515003,"Current Word: ,\rspd=70\ I am"
2017-11-03 14:41:11:994443,"Position: x: 0.200871348381
y: 0.0846129730344
z: 0.239890992641
x: 0.00738212885335
y: 0.364256262779
z: -0.126612916589
w: 1.0"
2017-11-03 14:41:11:994586,"Current Word: ,\rspd=70\ only			"
2017-11-03 14:41:13:134266,"Position: x: 0.191079065204
y: 0.119876302779
z: 0.225068002939
x: 0.00630786363035
y: 0.446718871593
z: 0.053295828402
w: 1.0"
2017-11-03 14:41:13:134502,"Current Word: ,\rspd=70\  big"
2017-11-03 14:41:14:252993,"Position: x: 0.194067150354
y: 0.121319539845
z: 0.2310372293
x: 0.00176663417369
y: 0.415941566229
z: 0.0601363256574
w: 1.0"
2017-11-03 14:41:14:253360,"Current Word: ,\rspd=70\ and"
2017-11-03 14:41:15:395898,"Current Word: ,\rspd=70\ cute"
2017-11-03 14:41:15:396122,"Position: x: 0.194666147232
y: 0.113488949835
z: 0.23024366796
x: -0.000618640391622
y: 0.418523162603
z: 0.0199850071222
w: 1.0"
