*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-29 11:47:58:642724,Child Name:,Child Name
2017-11-29 11:47:58:652244,On or OFF:,Face Tracking is OFF
2017-11-29 11:47:59:316351,On or OFF:,Face Tracking is ON
2017-11-29 11:48:00:319978,Robot State:,Introduce Nao Started
2017-11-29 11:48:03:328902,Robot State:,Introduce Nao Ended
2017-11-29 11:48:03:499094,On or OFF:,Face Tracking is OFF
2017-11-29 11:48:04:526015,Robot State:,Looking at The Book
2017-11-29 11:48:10:156104,Robot State:,TaskONE Selected
2017-11-29 11:48:11:186571,Robot State:,Looking at The Book
2017-11-29 11:48:11:690644,Detected ARTags: ,"32, 33"
2017-11-29 11:48:11:708167,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:11:708628,Current State of Reading: ,False
2017-11-29 11:48:11:718144,Detected ARTags: ,"32, 33"
2017-11-29 11:48:11:719647,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:11:720178,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:11:720536,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:11:720386,Detected ARTags: ,"32, 33"
2017-11-29 11:48:11:721170,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:11:721359,Detected ARTags: ,"32, 33"
2017-11-29 11:48:11:721557,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:11:721764,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:11:722592,Detected ARTags: ,"32, 33"
2017-11-29 11:48:11:722974,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:11:722885,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:11:723740,Detected ARTags: ,"32, 33"
2017-11-29 11:48:11:723965,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:11:724245,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:11:724713,Detected ARTags: ,"32, 33"
2017-11-29 11:48:11:725431,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:11:725293,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:11:725531,Detected ARTags: ,"32, 33"
2017-11-29 11:48:11:726684,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:11:726831,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:11:752006,Detected ARTags: ,"32, 33"
2017-11-29 11:48:11:752912,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:11:753103,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:11:851838,Detected ARTags: ,"32, 33"
2017-11-29 11:48:11:852245,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:11:852436,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:12:057169,Detected ARTags: ,"32, 33"
2017-11-29 11:48:12:058690,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:12:058888,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:12:155040,Detected ARTags: ,"32, 33"
2017-11-29 11:48:12:156650,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:12:156494,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:12:256931,Detected ARTags: ,"32, 33"
2017-11-29 11:48:12:258693,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:12:258872,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:12:357943,Detected ARTags: ,"32, 33"
2017-11-29 11:48:12:358863,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:12:358982,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:12:455396,Detected ARTags: ,"32, 33"
2017-11-29 11:48:12:456499,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:12:456753,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:12:557127,Detected ARTags: ,"32, 33"
2017-11-29 11:48:12:557664,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:12:557807,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:12:758672,Detected ARTags: ,"32, 33"
2017-11-29 11:48:12:759335,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:12:759475,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:12:847819,Detected ARTags: ,"32, 33"
2017-11-29 11:48:12:848362,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:12:848549,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:12:957530,Detected ARTags: ,"32, 33"
2017-11-29 11:48:12:958238,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:12:958647,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:13:055266,Detected ARTags: ,"32, 33"
2017-11-29 11:48:13:056992,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:13:056875,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:13:156843,Detected ARTags: ,"32, 33"
2017-11-29 11:48:13:157167,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:13:157494,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:13:256417,Detected ARTags: ,"32, 33"
2017-11-29 11:48:13:256993,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:13:257454,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:13:293624,Robot State:,Reading Mode Started
2017-11-29 11:48:13:294181,Current State of Correction: ,False
2017-11-29 11:48:13:358351,Detected ARTags: ,"32, 33"
2017-11-29 11:48:13:359165,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:13:359334,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:13:451689,Detected ARTags: ,"32, 33"
2017-11-29 11:48:13:452238,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:13:452633,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:13:548767,Detected ARTags: ,"32, 33"
2017-11-29 11:48:13:549043,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:13:549198,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:13:654636,Detected ARTags: ,"32, 33"
2017-11-29 11:48:13:656093,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:13:656457,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:13:756543,Detected ARTags: ,"32, 33"
2017-11-29 11:48:13:757732,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:13:757948,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:13:855784,Detected ARTags: ,"32, 33"
2017-11-29 11:48:13:857178,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:13:857358,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:13:955891,Detected ARTags: ,"32, 33"
2017-11-29 11:48:13:956502,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:13:956695,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:14:055438,Detected ARTags: ,"32, 33"
2017-11-29 11:48:14:056026,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:14:056246,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:14:254937,Detected ARTags: ,"32, 33"
2017-11-29 11:48:14:255763,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:14:256207,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:14:355482,Detected ARTags: ,"32, 33"
2017-11-29 11:48:14:356403,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:14:356245,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:14:446649,Detected ARTags: ,"32, 33"
2017-11-29 11:48:14:447036,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:14:447159,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:14:556223,Detected ARTags: ,"32, 33"
2017-11-29 11:48:14:556990,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:14:556710,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:14:655705,Detected ARTags: ,"32, 33"
2017-11-29 11:48:14:656922,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:14:657320,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:14:752184,Detected ARTags: ,"32, 33"
2017-11-29 11:48:14:752785,Detected ARTags: ,"[32, 33]"
2017-11-29 11:48:14:753110,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:48:14:856809,Detected ARTags: ,"32, 33"
2017-11-29 11:48:14:858170,Current State of Reading: ,Waiting for Red-card
