*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-04 16:27:54:063836,Reading speed:,0.06with0.06delay
2017-12-04 16:27:54:063908,Instruction:,"NumberOfStart:
1
ChildName:
test
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:




# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-12-04 16:27:54:063963,Child Name:,test
2017-12-04 16:27:54:071457,On or OFF:,Face Tracking is OFF
2017-12-04 16:27:55:088559,Robot State:,Looking at The Book
2017-12-04 16:27:56:256041,On or OFF:,Face Tracking is ON
2017-12-04 16:27:56:758743,Robot State:,Introduce Nao Started
2017-12-04 16:28:13:683665,Instruction:,"\rspd=90\ Hello test\pau=700\ My name is Nao \pau=500\ I really like reading short stories\rspd=90\ Do you want to listen to them?\rspd=90\ sometimes I make mistakes, can you help me to correct them?\rspd=90\ If you want to read with me, please bring the book"
2017-12-04 16:28:14:184447,Robot State:,Introduce Nao Ended
2017-12-04 16:28:14:385278,On or OFF:,Face Tracking is OFF
2017-12-04 16:28:15:407286,Robot State:,Looking at The Book
2017-12-04 16:28:16:005897,Robot State:,TaskONE Selected
2017-12-04 16:28:17:028977,Robot State:,Looking at The Book
2017-12-04 16:28:17:542286,Detected ARTags: ,"30, 31"
2017-12-04 16:28:17:548226,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:17:548376,Current State of Reading: ,False
2017-12-04 16:28:17:557547,Detected ARTags: ,"30, 31"
2017-12-04 16:28:17:558198,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:17:558942,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:17:559033,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:17:559308,Detected ARTags: ,"30, 31"
2017-12-04 16:28:17:559356,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:17:559406,Detected ARTags: ,"30, 31"
